IDD,AddressName,AddressStreet,AddressLocation,AddressPhone,HoursDays,HoursTime,HeadImageTag,Event1,Event2
MES,Mesa Guidance Center,5&zwnj;943 E. McKellips Rd., Ste. 106,M&zwnj;esa, AZ 8&zwnj;5215,(48&zwnj;0) 325-4707,Open M&zwnj;onday through F&zwnj;riday,9 a&zwnj;m to 5 pm,<img src="images/MES-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Mesa Guidance Center">,W&zwnj;ednesday, M&zwnj;arch 18 | 9 to 1&zwnj;0:30 am,&nbsp;
NAP,Naperville Guidance Center,1&zwnj;964 Springbrook Sq. Dr., Ste. 108,N&zwnj;aperville, IL 6&zwnj;0564,(6&zwnj;30) 328-5029,Open M&zwnj;onday through F&zwnj;riday,8 a&zwnj;m to 4:30 pm,<img src="images/NAP-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Naperville Guidance Center">,T&zwnj;hursday, M&zwnj;arch 12 |  1 to 2&zwnj;:30 pm,&nbsp;
NOM,New Orleans Guidance Center,1&zwnj;107 Veterans Blvd., Ste. 2B,M&zwnj;etairie, LA 7&zwnj;0005,(5&zwnj;04) 840-0906,Open M&zwnj;onday through F&zwnj;riday,9 a&zwnj;m to 5 pm,<img src="images/NOM-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your New Orleans Guidance Center">,T&zwnj;hursday, M&zwnj;arch 12 |  1&zwnj;2 to 1 pm,&nbsp;
PEO,Peoria Guidance Center,7&zwnj;915 N. Hale Ave.,P&zwnj;eoria, IL 6&zwnj;1615,(30&zwnj;9) 691-1677,Open M&zwnj;onday through F&zwnj;riday,8 a&zwnj;m to 5 pm,<img src="images/PEO-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Peoria Guidance Center">,T&zwnj;hursday, M&zwnj;arch 19 |  1 to 2&zwnj;:30 pm,&nbsp;
SAN,San Antonio Guidance Center,8&zwnj;03 Castroville Rd. (Next to HEB) ,S&zwnj;an Antonio, TX 7&zwnj;8237,(2&zwnj;10) 424-6086,Open M&zwnj;onday through F&zwnj;riday,9 a&zwnj;m to 5 pm,<img src="images/SAN-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your San Antonio Guidance Center">,T&zwnj;uesday, M&zwnj;arch 3 | 1&zwnj;0:30 to 12 pm, <br><font style=padding-left:115px;>OR</font><br><strong>T&zwnj;hursday, M&zwnj;arch 12 |  1&zwnj;0 to 1&zwnj;1:30 a&zwnj;m (En Espanol)</strong>
SUM,Summerlin Guidance Center,8&zwnj;975 W. Charleston Bld., Ste. 100,L&zwnj;as Vegas, NV 8&zwnj;9117,(7&zwnj;02) 380-6170,Open M&zwnj;onday through F&zwnj;riday,8 a&zwnj;m to 5 pm,<img src="images/SUM-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Summerlin Guidance Center">,W&zwnj;ednesday, M&zwnj;arch 11 | 2 to 3&zwnj;:30 pm,&nbsp;
TAMC,Tamarac Guidance Center,7&zwnj;666 Nob Hill Rd.,Ta&zwnj;marac, FL 3&zwnj;3321,(95&zwnj;4) 724-1540,Open M&zwnj;onday through F&zwnj;riday,9 a&zwnj;m to 5 pm,<img src="images/TAMC-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Tamarac Guidance Center">,T&zwnj;uesday, M&zwnj;arch 10 | 1&zwnj;0 to 11:30 am,&nbsp;
ZEP,Zephyrhills Guidance Center,7&zwnj;920 Gall Blvd.,Z&zwnj;ephyrhills, FL 3&zwnj;3541,(8&zwnj;13) 780-7300,Open M&zwnj;onday through F&zwnj;riday,8:30 a&zwnj;m to 5 pm,<img src="images/ZEP-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Zephyrhills Guidance Center">,M&zwnj;onday, M&zwnj;arch 2 | 1&zwnj;1:30 to 1 pm,&nbsp;
BRAD,Bradenton Location,6&zwnj;036 14th St.,W. B&zwnj;radenton, FL 3&zwnj;4207,(9&zwnj;41) 487-6061,Open M&zwnj;onday through F&zwnj;riday,8:30 a&zwnj;m to 5 pm,<img src="images/BRAD-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Bradenton Location">,T&zwnj;uesday, M&zwnj;arch 10 | 1&zwnj;0 to 11:30 am,&nbsp;
SPC,Clearwater Location,1&zwnj;530 N. McMullen Rd., Ste. D2,C&zwnj;learwater, FLÊ3&zwnj;3759 ,(7&zwnj;27) 793-2100,Open M&zwnj;onday through F&zwnj;riday,8:30 a&zwnj;m to 5 pm,<img src="images/SPC-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Clearwater Location">,T&zwnj;uesday, M&zwnj;arch 3 |  1&zwnj;2:30 to 2 pm,&nbsp;
COR,Corpus Christi Location,1&zwnj;801 S. Alameda St., Ste. 100,C&zwnj;orpus Christi, TX 7&zwnj;8404 ,(36&zwnj;1) 792-7950,Open M&zwnj;onday through F&zwnj;riday,8 a&zwnj;m to 5 pm,<img src="images/COR-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Corpus Christi Location">,W&zwnj;ednesday, M&zwnj;arch 11 |  1&zwnj;0 to 11:00 am,&nbsp;
GREENS,Greensboro Location,1&zwnj;420 Westover Terrace, Ste. C ,G&zwnj;reensboro, NC 2&zwnj;7408,(3&zwnj;36) 547-2701,Open M&zwnj;onday through F&zwnj;riday,8 a&zwnj;m to 5 pm,<img src="images/GREENS-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Greensboro Location">,T&zwnj;hursday, M&zwnj;arch 19 |  1&zwnj;0 to 11 am,&nbsp;
PORTRICH,Port Richey Location,9&zwnj;550 US Hwy. 19, Ste. D-4 ,P&zwnj;ort Richey, FL 3&zwnj;4668,(7&zwnj;27) 484-7800,Open M&zwnj;onday through F&zwnj;riday,8:30 a&zwnj;m to 5 pm,<img src="images/PORTRICH-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Port Richey Location">,T&zwnj;hursday, M&zwnj;arch 5 |  1&zwnj;2 to 1:30 pm,&nbsp;
SPRING,Spring Hill Location,4&zwnj;314 Commercial Way,S&zwnj;pring Hill, FL 3&zwnj;4606,(3&zwnj;52) 592-4080,Open M&zwnj;onday through F&zwnj;riday,8:30 a&zwnj;m to 5 pm,<img src="images/SPRING-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Spring Hill Location">,W&zwnj;ednesday, M&zwnj;arch 18 | 1&zwnj;1:30 to 1 pm,&nbsp;
TAM,Tampa Location,1&zwnj;0037 N. Dale Mabry Hwy.,T&zwnj;ampa, FL 3&zwnj;3618,(8&zwnj;13) 463-4221,Open M&zwnj;onday through F&zwnj;riday,8:30 a&zwnj;m to 5 pm,<img src="images/TAM-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Tampa Location">,W&zwnj;ednesday, M&zwnj;arch 25 | 1&zwnj;2:30 to 2 pm,&nbsp;
